DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N11;N12;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;AT;GPWS;GPWSM;TCAS;ELEVL;ELEVR;AILL;AILR;RUDD_PDL_FORCE;RUDD;PITCH_TRM
XX/06/21;05:14:16;DESCENT;AIR;AIR;AIR;4196;4215.00;1013.0;3958;2054;28.00;-31.450.653;-60.241.859;281;250;159;189.67;0.406;-1322;1.08;-0.01;-0.01;-15;0.00;0;-3.3;52962;0;11.25;3.0;0.4;4.39;-3.53;35.0;35.8;73.9;74.6;561;574;IDLE;IDLE;16437.0;8256.26;8180.80;1338.0;1374.5;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.30;-4.00;0.41;-0.23;-1233.00;-0.33;5.67
XX/06/21;05:14:17;DESCENT;AIR;AIR;AIR;4181;4200.00;1013.0;3943;2054;28.00;-31.439.209;-60.242.546;281;250;159;189.67;0.406;-1213;1.07;-0.01;-0.01;-14;-72.77;0;-3.3;52962;0;10.90;3.2;0.2;4.39;-3.55;35.0;35.8;76.1;74.6;562;575;IDLE;IDLE;16437.8;8256.63;8181.18;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.25;-4.10;0.41;-0.17;616.50;-0.33;5.67
XX/06/21;05:14:18;DESCENT;AIR;AIR;AIR;4167;4187.00;1013.0;3929;2054;28.00;-31.427.765;-60.243.080;280;249;159;189.67;0.404;-1100;1.06;-0.01;-0.01;-13;-180.0;0;-3.3;52962;0;10.90;3.3;0.2;4.22;-3.56;35.0;35.8;74.3;74.6;562;575;IDLE;IDLE;16438.5;8257.01;8181.57;1338.0;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.20;-4.20;0.35;-0.23;-1233.00;-0.33;5.67
XX/06/21;05:14:19;DESCENT;AIR;AIR;AIR;4156;4175.00;1013.0;3918;2054;28.00;-31.415.558;-60.243.767;279;249;159;189.67;0.404;-984;1.03;-0.01;-0.01;-13;-72.77;0;-3.4;52962;0;10.55;3.5;0.2;4.22;-3.58;35.0;35.8;75.7;74.6;561;575;IDLE;IDLE;16439.3;8257.38;8181.95;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-4.35;0.23;-0.34;616.50;-0.33;5.70
XX/06/21;05:14:20;DESCENT;AIR;AIR;AIR;4145;4164.00;1013.0;3907;2054;28.00;-31.404.114;-60.244.457;278;249;159;189.67;0.404;-877;1.03;-0.01;-0.01;-12;0.00;0;-3.4;52962;0;10.55;3.5;0.0;4.04;-3.58;35.0;35.8;74.4;74.6;561;575;IDLE;IDLE;16440.0;8257.75;8182.34;1338.0;1386.7;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.90;-4.40;0.35;-0.23;-1233.00;-0.33;5.70
XX/06/21;05:14:21;DESCENT;AIR;AIR;AIR;4135;4154.00;1013.0;3897;2054;28.00;-31.392.670;-60.245.068;277;248;159;189.67;0.402;-796;1.01;-0.01;-0.01;-11;-72.77;0;-3.5;52962;0;10.55;3.5;0.0;4.04;-3.61;35.0;35.8;75.8;74.6;562;575;IDLE;IDLE;16440.8;8258.12;8182.72;1338.0;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.80;-4.45;0.41;-0.11;616.50;-0.33;5.70
XX/06/21;05:14:22;DESCENT;AIR;AIR;AIR;4125;4145.00;1013.0;3887;2054;28.00;-31.380.463;-60.245.678;276;248;159;189.67;0.402;-731;0.99;-0.01;-0.01;-10;-180.0;0;-3.5;52962;0;10.55;3.5;0.0;3.87;-3.62;35.0;35.8;74.0;74.6;562;575;IDLE;IDLE;16441.5;8258.49;8183.10;1331.9;1380.6;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-3.95;-4.30;0.29;-0.23;-1233.00;-0.33;5.64
XX/06/21;05:14:23;DESCENT;AIR;AIR;AIR;4115;4135.00;1013.0;3877;2054;28.00;-31.369.019;-60.246.136;275;247;159;189.67;0.400;-688;0.99;-0.01;-0.01;-9;-72.77;0;-3.6;52962;0;10.55;3.5;0.0;4.04;-3.60;35.0;35.8;75.8;74.6;562;575;IDLE;IDLE;16442.3;8258.86;8183.49;1338.0;1386.7;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.15;-4.20;0.23;-0.23;616.50;-0.33;5.55
XX/06/21;05:14:24;DESCENT;AIR;AIR;AIR;4105;4124.00;1013.0;3867;2054;28.00;-31.357.574;-60.246.742;275;246;159;189.67;0.400;-659;0.98;-0.01;-0.01;-9;0.00;0;-3.6;52962;0;10.20;3.3;-0.2;3.87;-3.61;35.0;35.6;74.0;74.6;562;575;IDLE;IDLE;16443.1;8259.23;8183.87;1338.0;1386.7;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.30;-3.95;0.23;-0.29;-1233.00;-0.33;5.48
XX/06/21;05:14:25;DESCENT;AIR;AIR;AIR;4094;4113.00;1013.0;3856;2054;28.00;-31.345.367;-60.247.196;274;246;159;189.67;0.398;-649;0.98;-0.01;-0.01;-8;-72.77;0;-3.7;52962;0;10.55;3.3;-0.0;4.04;-3.62;35.0;35.6;75.8;74.6;562;575;IDLE;IDLE;16443.8;8259.61;8184.26;1338.0;1392.7;5552.0;2;AP ENGAGED;AT ENGAGED;0;0;-;-4.45;-3.80;0.47;0.06;1232.40;-0.33;5.48
