DATE;TIME;FPHASE;LDGL;LDGR;LDGNOS;ALTSTDC;ALTQNH;BAROCOR1;HEIGHT;RALT;TAT;LATP;LONP;GS;CAS;VAPP;VLS;MACH;IVV;VRTG;LATG;LONG;HEAD;WINDIR;WINSPD;DRIFT;GW;FLAP;ROLL;PITCH;PITCHRATE;AOAL;LOCDEV;N21;N22;EGT1;EGT2;THREV1;THREV2;FBURN;FBURN1;FBURN2;FF1;FF2;FQTY;SPDBRAKE;AP_EGD;GPWS;GPWSM;TCAS
XX/03/19;07:21:54;FINAL APPROACH;AIR;AIR;AIR;4008;4008.00;1013.0;1952;2357;25.00;-22.936.607;-47.236.710;152;156;145;127.28;0.253;-695;1.00;0.01;-0.04;142;118.13;18;0.6;43654;15;-1.41;2.8;0.0;5.80;-0.04;73.6;74.3;532;573;-;-;2931.52;1465.34;1466.18;482.62;478.99;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:55;FINAL APPROACH;AIR;AIR;AIR;4000;4000.00;1013.0;1944;2318;25.00;-22.936.845;-47.236.404;151;155;145;127.28;0.251;-663;1.00;0.00;-0.04;141;118.13;18;0.9;43654;15;-0.70;3.0;0.1;5.80;-0.03;73.6;74.3;536;578;-;-;2931.79;1465.47;1466.32;482.62;486.25;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:56;FINAL APPROACH;AIR;AIR;AIR;3988;3988.00;1013.0;1932;2299;25.00;-22.937.387;-47.235.794;150;154;145;127.28;0.250;-643;1.00;-0.00;-0.03;141;117.42;18;1.1;43654;15;0.00;3.0;0.0;5.98;-0.02;76.1;77.0;584;616;-;-;2932.14;1465.65;1466.49;627.77;635.03;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:57;FINAL APPROACH;AIR;AIR;AIR;3980;3980.00;1013.0;1924;2278;25.25;-22.937.927;-47.235.184;149;153;145;127.28;0.249;-628;1.00;-0.00;-0.02;141;117.07;18;1.1;43654;15;0.35;3.2;0.1;6.33;-0.02;79.8;80.5;620;645;-;-;2932.57;1465.85;1466.72;751.15;805.58;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:57;FINAL APPROACH;AIR;AIR;AIR;3972;3972.00;1013.0;1916;2227;25.25;-22.938.537;-47.234.577;149;153;145;127.28;0.248;-579;1.01;0.00;-0.00;142;116.72;18;1.1;43654;15;0.35;3.3;0.1;6.33;-0.02;83.3;82.3;632;617;-;-;2933.06;1466.12;1466.95;939.84;823.72;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:58;FINAL APPROACH;AIR;AIR;AIR;3960;3960.00;1013.0;1904;2199;25.25;-22.939.144;-47.233.974;148;153;145;127.25;0.248;-586;1.01;0.01;0.01;142;116.72;18;0.9;43636;15;0.35;3.5;0.1;6.33;-0.01;84.4;82.8;590;596;-;-;2933.57;1466.39;1467.18;972.50;852.75;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:21:59;FINAL APPROACH;AIR;AIR;AIR;3952;3952.00;1013.0;1896;2216;25.25;-22.939.327;-47.233.364;148;152;145;127.25;0.247;-591;1.00;0.01;0.01;142;117.42;18;0.7;43636;15;0.35;3.5;0.0;6.33;-0.01;84.4;83.6;566;584;-;-;2934.09;1466.66;1467.43;983.39;899.93;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:22:00;FINAL APPROACH;AIR;AIR;AIR;3940;3940.00;1013.0;1884;2214;25.25;-22.939.508;-47.232.754;148;152;145;127.25;0.247;-594;1.00;0.01;0.01;142;118.13;18;0.7;43636;15;0.00;3.3;-0.1;6.33;-0.01;84.0;83.8;548;570;-;-;2934.60;1466.92;1467.69;932.59;914.44;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:22:02;FINAL APPROACH;AIR;AIR;AIR;3932;3932.00;1013.0;1876;2213;25.25;-22.939.689;-47.232.151;147;152;145;127.25;0.247;-596;0.98;0.00;0.00;142;118.48;18;0.8;43636;15;-0.70;3.3;-0.0;6.16;-0.01;83.8;83.8;542;561;-;-;2935.11;1467.17;1467.94;896.30;914.44;13960.;EXTENDED;0;WARNING;-;-
XX/03/19;07:22:03;FINAL APPROACH;AIR;AIR;AIR;3920;3920.00;1013.0;1864;2237;25.25;-22.940.177;-47.231.544;147;152;145;127.25;0.246;-597;0.99;0.00;0.00;142;118.48;18;0.9;43636;15;-1.41;3.3;-0.0;6.16;0.01;83.9;83.8;542;556;-;-;2935.60;1467.41;1468.19;878.16;907.19;14000.;EXTENDED;0;WARNING;-;-
